ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"36.95.56.66","elite","AS7713","ID","PT. Telekomunikasi Indonesia","184","Telekomunikasi Indonesia","5678","socks4","4503","1","2024-01-29T01:31:16.740Z","98","5676","5793"
"198.199.115.151","elite","AS14061","US","DigitalOcean, LLC","152","DigitalOcean, LLC","35689","socks4","246","8307","2024-01-29T01:31:16.734Z","100","1","1"
"110.78.148.101","elite","AS131090","TH","CAT-BB","235","N/A","4153","socks4","4481","1","2024-01-29T01:31:16.741Z","84","4886","5800"
"119.29.84.133","elite","AS45090","HK","Shenzhen Tencent Computer Systems Company Limited","209","Tencent cloud computing (Beijing) Co., Ltd.","20806","socks5","5007","1","2024-01-29T01:31:16.732Z","87","5086","5819"
"192.248.169.126","elite","AS20473","GB","The Constant Company, LLC","9","Vultr Holdings LLC London","11034","socks4","4305","1","2024-01-29T01:31:13.834Z","8","449","5830"
"109.73.181.155","elite","AS49924","IT","ECROM-MAIN","84","N/A","4145","socks4","3999","1","2024-01-29T01:31:13.835Z","54","3066","5730"
"94.240.198.202","elite","AS16010","GE","Caucasus Online LLC","82","Caucasus Online LLC","5678","socks4","594","1","2024-01-29T01:31:13.729Z","99","5869","5916"
"195.138.65.34","elite","AS6876","UA","TENET Scientific Production Enterprise LLC","56","Tenet","5678","socks4","3596","1","2024-01-29T01:31:13.734Z","98","5700","5819"
"46.200.72.130","elite","AS6849","UA","UKRTELECOM","52","JSC Ukrtelecom","5678","socks4","4997","81","2024-01-29T01:31:13.833Z","97","5620","5794"
"84.53.239.95","elite","AS34168","RU","Elcom ISP","76","OJSC Rostelecom","4145","socks4","2901","1","2024-01-29T01:31:13.727Z","96","5571","5824"
"80.209.236.13","elite","AS212531","LT","UAB \"Interneto vizija\"","37","RACKRAY","55374","socks4","4006","1","2024-01-29T01:31:09.540Z","46","2617","5718"
"104.16.221.57","elite","AS13335","CA","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks5","2705","1","2024-01-29T01:31:09.542Z","100","5838","5839"
"110.78.147.112","elite","AS131090","TH","CAT-BB","282","N/A","4145","socks4","2187","1","2024-01-29T01:31:09.543Z","82","4858","5891"
"178.32.99.234","elite","AS16276","FR","OVH SAS","6","OVH ISP","5678","socks4","3899","1","2024-01-29T01:31:09.541Z","73","4199","5779"
"104.22.14.48","elite","AS13335","CA","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks5","3805","1","2024-01-29T01:31:09.545Z","100","5812","5812"
"39.108.139.217","elite","AS37963","CN","Hangzhou Alibaba Advertising Co","286","Aliyun Computing Co., LTD","11188","socks5","1096","1","2024-01-29T01:31:09.544Z","85","4989","5872"
"103.60.187.1","elite","AS135729","IN","Digital Telco Network India Pvt. Ltd.","252","Digital Telco Network India Pvt. Ltd.","60189","socks4","4191","1","2024-01-29T01:31:06.339Z","99","5852","5883"
"206.192.226.90","elite","AS25899","US","LS Networks","194","LS Networks","39593","socks4","3108","1","2024-01-29T01:31:06.428Z","100","5938","5950"
